Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/25,Friday,YOUTUBE,310,Entertainment
8/25,Friday,X,70,Social Media
8/25,Friday,MESSAGES,95,Social Media
8/25,Friday,MUSIC,43,Entertainment
8/25,Monday,GMAIL,9,Education
8/25,Friday,GOOGLE ,4,Education
8/26,Saturday,YOUTUBE,154,Entertainment
8/26,Saturday,X,139,Social Media
8/26,Saturday,MESSAGES,52,Social Media
8/26,Saturday,MUSIC,29,Entertainment
8/26,Saturday,INSTAGRAM,17,Social Media
8/26,Saturday,GMAIL,14,Education
8/27,Sunday,YOUTUBE,134,Entertainment
8/27,Sunday,KICK,124,Entertainment
8/27,Sunday,X,83,Social Media
8/27,Sunday,MESSAGES,35,Social Media
8/27,Sunday,INSTAGRAM,14,Social Media
8/27,Saturday,GMAIL,6,Education
8/28,Monday,YOUTUBE,258,Entertainment
8/28,Monday,X,120,Social Media
8/28,Monday,MESSAGES,51,Social Media
8/28,Monday,INSTAGRAM,35,Social Media
8/28,Monday,KICK,31,Entertainment
8/28,Monday,GMAIL,9,Education
8/28,Monday,GOOGLE ,2,Education
8/29,Tuesday,YOUTUBE,193,Entertainment
8/29,Tuesday,X,130,Social Media
8/29,Tuesday,MESSAGES,90,Social Media
8/29,Tuesday,INSTAGRAM,50,Social Media
8/29,Tuesday,KICK,38,Entertainment
8/29,Tuesday,GMAIL,5,Education
8/30,Wednesday,YOUTUBE,191,Entertainment
8/30,Wednesday,X,120,Social Media
8/30,Wednesday,MESSAGES,58,Social Media
8/30,Wednesday,MUSIC,17,Entertainment
8/30,Wednesday,GMAIL,13,Education
8/30,Wednesday,INSTAGRAM,12,Entertainment
8/31,Thursday,YOUTUBE,92,Entertainment
8/31,Thursday,NETFLIX,79,Entertainment
8/31,Thursday,MESSAGES,78,Social Media
8/31,Thursday,X,34,Social Media
8/31,Thursday,INSTAGRAM,12,Social Media
8/31,Thursday,KICK,10,Entertainment
8/31,Thursday,MUSIC,7,Entertainment
8/31,Thursday,GMAIL,7,Education
9/1,Friday,YOUTUBE,422,Entertainment
9/1,Friday,KICK,307,Entertainment
9/1,Friday,X,23,Social Media
9/1,Friday,MUSIC,19,Entertainment
9/1,Friday,GMAIL,9,Education
